 Tell me the size of earth.
DEBUG: n_threads changed to 1
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     60
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,  33587
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  11559
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   7366
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     57
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7708
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10284
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   9432
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     58
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   8380
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10154
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6223
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     47
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6729
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10106
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6203
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     80
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  64653
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  23907
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  20991
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     56
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17223
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26374
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21873
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    173
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  18753
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  27045
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  10446
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6647
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9899
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6184
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     68
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   8300
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10711
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6431
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7507
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10472
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   7096
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     47
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7020
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10710
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6383
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  19531
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  27802
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  22923
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     61
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  20317
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  27506
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21970
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    161
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  19644
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  28697
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   9921
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     46
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7412
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10337
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6507
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6666
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10394
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6517
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6913
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10163
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6383
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6606
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10282
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6329
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  18944
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  27272
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  22072
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     61
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  18702
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26765
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21767
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    183
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  17981
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  26052
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  10209
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     47
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6377
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9924
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6148
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7362
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10174
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6278
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     60
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7190
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10124
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6402
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7541
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9870
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6400
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  19971
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26761
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21729
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     60
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  19839
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26580
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21050
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    161
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  19193
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  26822
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  10663
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     48
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7315
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10007
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6470
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6694
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9699
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5245
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6365
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9541
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5632
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     66
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5981
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9500
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5841
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     48
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  16645
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25468
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  20445
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     60
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17934
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26366
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21234
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    162
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  23107
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  29944
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  12788
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     57
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   8258
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10516
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   7124
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     56
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7081
